# U0 [m]	V0 [m]	Ecart [m]	Altitude [m]
-348.3933969	166.1343462	1.009188801	98.6
-349.0357038	166.9127444	1.009188754	98.6
-349.5977172	167.6911384	0.960081372	98.7
-350.2400297	168.3583417	0.926134819	98.7
-350.8823362	169.1367401	1.009188617	98.7
-351.5246426	169.9151385	1.009188568	98.8
-352.1669488	170.6935369	1.009188521	98.8
-352.7289556	171.5831261	1.052245482	98.8
-353.2106747	172.3615162	0.915393026	98.8
-353.7726812	173.2511055	1.052245406	98.9
-354.3346935	174.0294999	0.960081058	98.9
-354.8164063	174.919085	1.01163674	98.9
-355.3784124	175.8086744	1.052245289	98.9
-355.9404242	176.587069	0.960080933	98.9
-356.50243	177.4766585	1.052245214	98.9
-356.9841483	178.2550488	0.915392803	98.9
-357.5461537	179.1446384	1.052245139	98.8
-358.1081651	179.9230331	0.960080767	98.8
-358.589877	180.8126185	1.011636537	98.8
-359.151888	181.5910133	0.960080684	98.8
-359.7138929	182.4806031	1.052244989	98.8
-360.2759037	183.258998	0.960080602	98.8
-360.7576151	184.1485836	1.011636422	98.7
-361.3196196	185.0381735	1.052244873	98.7
-361.88163	185.8165685	0.960080475	98.7
-362.4436341	186.7061585	1.052244798	98.7
-362.925351	187.4845493	0.915392451	98.7
-363.4873549	188.3741394	1.052244722	98.7
-364.0493648	189.1525346	0.96008031	98.7
-364.5310752	190.0421204	1.011636218	98.7
-365.0930848	190.8205158	0.960080227	98.7
-365.6550882	191.710106	1.052244573	98.7
-366.2170975	192.4885015	0.960080145	98.7
-366.6988074	193.3780874	1.011636102	98.6
-367.2608103	194.2676778	1.052244457	98.6
-367.8228192	195.0460734	0.960080018	98.7
-368.3045287	195.9356595	1.011636014	98.7
-368.8665373	196.7140551	0.960079936	98.7
-369.4285397	197.6036457	1.052244306	98.7
-369.990548	198.3820414	0.960079853	98.7
-370.472257	199.2716277	1.011635899	98.7
-371.0342651	200.0500235	0.960079771	98.7
-371.5159738	200.9396098	1.011635842	98.7
-372.0779754	201.8292006	1.052244116	98.7
-372.6399831	202.6075966	0.960079644	98.7
-373.1216915	203.497183	1.011635754	98.7
-373.6836926	204.386774	1.052243999	98.8
-374.1654069	205.1651656	0.915391775	98.8
-374.7274079	206.0547566	1.052243924	98.8
-375.2091219	206.8331483	0.915391712	98.8
-375.7711225	207.7227394	1.052243849	98.8
-376.2528301	208.6123261	1.011635577	98.8
-376.8148367	209.3907224	0.960079309	98.8
-377.296544	210.2803091	1.011635519	98.8
-377.7782511	211.1698959	1.011635489	98.7
-378.3402573	211.9482923	0.960079182	98.7
-378.8219642	212.8378791	1.01163543	98.7
-379.3839638	213.7274706	1.052243578	98.7
-379.8656768	214.5058626	0.915391419	98.7
-380.4276761	215.3954541	1.052243503	98.7
-380.9093889	216.1738462	0.915391356	98.7
-381.4713879	217.0634378	1.052243427	98.7
-381.953094	217.9530249	1.011635255	98.6
-382.5150992	218.7314217	0.960078846	98.6
-382.996805	219.6210088	1.011635197	98.6
-383.5588035	220.5106006	1.052243272	98.6
-384.0405155	221.2889929	0.915391161	98.6
-384.6025137	222.1785848	1.052243196	98.6
-385.0842255	222.9569771	0.915391097	98.6
